G,P,N,A
0,365,748,1374
0,365,746,1374
0,365,746,1379
0,365,748,1379
0,365,748,1384
0,365,750,1384
0,366,750,1384
0,366,749,1389
0,371,749,1394
0,367,747,1399
0,372,747,1399
0,372,748,1399
0,372,748,1399
0,372,750,1399
0,372,750,1404
0,372,748,1404
0,372,748,1409
0,372,746,1404
0,372,746,1404
0,373,747,1414
0,373,747,1419
0,373,749,1424
0,373,749,1424
0,374,748,1424
0,374,748,1429
0,375,746,1429
0,375,746,1434
0,375,748,1434
0,375,748,1439
0,376,750,1444
0,375,750,1449
0,375,748,1449
0,375,748,1454
0,375,746,1454
0,375,746,1454
0,371,747,1459
0,376,747,1459
0,371,749,1459
0,372,749,1464
0,372,747,1464
0,372,747,1469
0,377,745,1474
0,377,745,1479
0,377,747,1479
0,377,747,1479
0,377,749,1484
0,377,749,1484
0,377,747,1484
0,377,747,1484
0,377,745,1489
0,373,745,1494
0,378,747,1494
0,378,747,1499
0,379,749,1499
0,379,749,1504
0,379,748,1504
0,379,748,1509
0,379,747,1509
0,379,747,1509
0,379,748,1514
0,379,748,1514
0,378,750,1519
0,379,750,1519
0,374,749,1524
0,379,749,1529
0,379,746,1529
0,380,746,1534
0,380,747,1529
0,380,747,1534
0,381,749,1534
0,381,749,1539
0,381,748,1544
0,381,748,1544
0,381,746,1549
0,381,746,1549
0,381,748,1554
0,381,748,1554
0,381,750,1554
0,386,750,1559
0,386,748,1564
0,387,748,1564
0,387,746,1564
0,387,746,1564
0,388,747,1569
0,388,747,1569
0,383,749,1574
0,383,749,1574
0,383,748,1579
0,383,748,1584
0,384,746,1589
0,384,746,1589
0,379,747,1594
0,379,747,1594
0,379,749,1594
0,380,749,1599
0,380,748,1604
0,380,748,1604
0,386,745,1604
0,386,745,1609
0,386,746,1609
0,386,746,1609
0,386,748,1609
0,386,748,1614
0,381,748,1614
0,381,748,1619
0,381,746,1624
0,381,746,1624
0,381,747,1629
0,387,747,1629
0,387,749,1634
0,387,749,1639
0,388,748,1644
0,388,748,1644
0,388,746,1644
0,388,746,1649
0,389,747,1654
0,389,747,1654
0,389,749,1654
0,389,749,1654
0,389,749,1654
0,389,749,1654
0,389,747,1659
0,389,747,1659
0,390,748,1664
0,390,748,1669
0,390,749,1674
0,391,749,1674
0,391,748,1679
0,386,748,1679
0,391,746,1679
0,391,746,1684
0,392,747,1684
0,391,747,1689
0,391,748,1694
0,386,748,1694
0,391,748,1699
0,391,748,1699
0,391,746,1704
0,391,746,1704
0,391,747,1704
0,392,747,1709
0,392,749,1709
0,392,749,1714
0,392,748,1719
0,392,748,1719
0,392,746,1724
0,392,746,1724
0,392,746,1729
0,392,746,1729
0,392,748,1729
0,392,748,1734
0,392,748,1739
0,392,748,1739
0,393,746,1744
0,393,746,1744
0,393,747,1749
0,393,747,1749
0,393,748,1749
0,393,748,1749
0,393,748,1754
0,393,748,1759
0,393,746,1764
0,393,746,1764
0,393,747,1769
0,393,747,1769
0,393,749,1769
0,394,749,1774
0,394,748,1779
0,394,748,1779
0,394,746,1784
0,395,746,1784
0,395,746,1784
0,395,746,1789
0,390,748,1789
0,391,748,1789
0,390,747,1789
0,390,747,1794
0,390,744,1794
0,390,744,1799
0,390,745,1799
0,390,745,1804
0,391,748,1809
0,396,748,1814
0,391,748,1819
0,397,748,1824
0,397,746,1829
0,397,746,1829
0,397,746,1834
0,397,746,1834
0,397,748,1834
0,397,748,1839
0,397,748,1839
0,397,748,1839
0,392,745,1839
0,392,745,1844
0,398,745,1844
0,398,745,1844
0,398,748,1849
0,398,748,1849
0,399,749,1854
0,399,749,1859
0,399,746,1864
0,399,746,1864
0,399,747,1864
0,399,747,1864
0,399,749,1869
0,399,749,1869
0,394,748,1874
0,395,748,1879
0,400,745,1879
0,400,745,1884
0,400,745,1884
0,406,745,1889
0,401,748,1894
0,402,748,1894
0,402,748,1899
0,402,748,1899
0,402,746,1904
0,402,746,1904
0,402,746,1904
0,402,746,1909
0,402,748,1914
0,402,748,1914
0,402,748,1919
0,402,748,1919
0,402,745,1924
0,402,745,1924
0,403,746,1929
0,403,746,1929
0,403,748,1934
0,403,748,1934
0,404,750,1939
0,399,750,1939
0,404,748,1944
0,404,748,1944
0,404,747,1944
0,404,747,1949
0,404,750,1949
0,404,750,1954
0,404,749,1954
0,404,749,1959
0,405,746,1959
0,405,746,1964
0,405,746,1969
0,406,746,1969
0,406,748,1974
0,406,748,1979
0,406,749,1984
0,406,749,1984
0,406,747,1984
0,406,747,1989
0,406,747,1989
0,406,747,1989
0,407,749,1994
0,407,749,1994
0,407,749,1994
0,407,749,1999
0,408,746,1999
0,408,746,1999
0,408,746,2004
0,409,746,2009
0,409,749,2009
0,409,749,2014
0,409,749,2019
0,409,749,2019
0,409,747,2024
0,409,747,2029
0,414,746,2034
0,414,746,2034
0,409,748,2039
0,410,748,2039
0,410,747,2044
0,410,747,2044
0,411,745,2044
0,411,745,2049
0,406,745,2049
0,406,745,2054
0,411,748,2054
0,411,748,2064
0,406,749,2064
0,406,749,2069
0,406,747,2069
0,406,747,2074
0,411,747,2074
0,411,747,2074
0,412,749,2074
0,412,749,2079
0,412,748,2079
0,413,748,2084
0,413,745,2089
0,413,745,2089
0,413,745,2094
0,413,745,2094
0,413,748,2099
0,413,748,2104
0,414,749,2104
0,409,749,2109
0,409,746,2109
0,414,746,2114
0,409,746,2114
0,409,746,2119
0,410,748,2119
0,410,748,2124
0,410,748,2129
0,410,748,2134
0,410,746,2134
0,410,746,2134
0,410,746,2139
0,415,746,2139
0,415,749,2144
0,416,749,2144
0,416,750,2149
0,416,750,2149
0,416,748,2149
0,417,748,2149
0,417,747,2149
0,417,747,2154
0,418,749,2159
0,418,749,2159
0,418,749,2164
0,418,749,2169
0,418,746,2174
0,418,746,2174
0,418,745,2179
0,418,745,2184
0,418,748,2189
0,418,748,2194
0,419,748,2194
0,419,748,2194
0,419,746,2194
0,419,746,2194
0,420,745,2199
0,420,745,2199
0,420,747,2204
0,420,747,2209
0,421,748,2214
0,421,748,2214
0,421,745,2214
0,421,745,2219
0,421,746,2219
0,416,746,2224
0,421,749,2229
0,421,749,2234
0,421,749,2234
0,421,749,2234
0,422,747,2239
0,422,747,2239
0,422,747,2239
0,369,746,1364
0,369,746,1364
0,369,748,1369
0,369,748,1369
0,369,748,1369
0,369,748,1374
0,369,746,1374
0,365,746,1379
0,370,748,1384
0,370,748,1384
0,371,749,1389
0,371,749,1389
0,371,748,1394
0,371,748,1394
0,371,745,1394
0,371,745,1399
0,371,746,1399
0,371,746,1404
0,371,749,1404
0,371,749,1404
0,371,749,1404
0,371,749,1404
0,372,746,1409
0,367,746,1414
0,372,747,1419
0,368,747,1424
0,373,746,1429
0,373,746,1434
0,374,742,1434
0,374,742,1434
0,374,737,1434
0,374,737,1439
0,374,737,1439
0,374,737,1444
0,374,739,1444
0,374,739,1449
0,369,738,1449
0,374,738,1454
0,375,736,1459
0,370,736,1459
0,370,738,1464
0,370,738,1464
0,371,739,1464
0,371,739,1464
0,376,736,1469
0,371,736,1474
0,371,734,1479
0,376,734,1484
0,376,736,1489
0,376,736,1489
0,377,739,1494
0,377,739,1494
0,377,739,1494
0,377,739,1499
0,377,738,1499
0,377,738,1499
0,377,740,1499
0,377,740,1504
0,377,741,1504
0,373,741,1509
0,378,739,1509
0,378,739,1509
0,378,737,1514
0,379,737,1514
0,379,739,1514
0,379,739,1519
0,379,742,1519
0,379,742,1524
0,379,743,1529
0,379,743,1529
0,379,743,1524
0,379,743,1529
0,379,745,1529
0,379,745,1529
0,379,745,1534
0,380,745,1539
0,380,745,1539
0,380,745,1544
0,380,742,1549
0,380,742,1554
0,380,741,1549
0,380,741,1549
0,380,745,1554
0,380,745,1559
0,380,746,1564
0,380,746,1569
0,380,743,1574
0,381,743,1579
0,381,744,1579
0,381,744,1584
0,381,746,1589
0,382,746,1594
0,382,745,1594
0,382,745,1594
0,377,742,1599
0,382,742,1599
